person,personLabel,enwiki,start,positionLabel,partyLabel
http://www.wikidata.org/entity/Q15793659,Carsten Körber,https://en.wikipedia.org/wiki/Carsten_K%C3%B6rber,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q1045606,Carsten Linnemann,https://en.wikipedia.org/wiki/Carsten_Linnemann,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q111620,Carsten Müller,https://en.wikipedia.org/wiki/Carsten_M%C3%BCller,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q1045665,Carsten Schneider,https://en.wikipedia.org/wiki/Carsten_Schneider,2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q15793668,Carsten Träger,https://en.wikipedia.org/wiki/Carsten_Tr%C3%A4ger,2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q108754086,Catarina dos Santos-Wintz,https://en.wikipedia.org/wiki/Catarina_dos_Santos-Wintz,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q132733534,Cem İnce,https://en.wikipedia.org/wiki/Cem_Ince,2025-03-25T00:00:00Z,member of the German Bundestag,Die Linke
http://www.wikidata.org/entity/Q108713708,Chantal Kopf,https://en.wikipedia.org/wiki/Chantal_Kopf,2025-03-25T00:00:00Z,member of the German Bundestag,Alliance '90/The Greens
http://www.wikidata.org/entity/Q132733564,Charlotte Neuhäuser,https://en.wikipedia.org/wiki/Charlotte_Neuh%C3%A4user,2025-03-25T00:00:00Z,member of the German Bundestag,Die Linke
http://www.wikidata.org/entity/Q132733509,Christian Douglas,https://en.wikipedia.org/wiki/Christian_Douglas,2025-03-25T00:00:00Z,member of the German Bundestag,Alternative for Germany
http://www.wikidata.org/entity/Q1080069,Christian Görke,https://en.wikipedia.org/wiki/Christian_G%C3%B6rke,2025-03-25T00:00:00Z,member of the German Bundestag,Die Linke
http://www.wikidata.org/entity/Q14943656,Christian Haase,https://en.wikipedia.org/wiki/Christian_Haase,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q1080321,Christian Hirte,https://en.wikipedia.org/wiki/Christian_Hirte,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q132732414,Christian Moser,https://en.wikipedia.org/wiki/Christian_Moser_(politician),2025-03-25T00:00:00Z,member of the German Bundestag,Christian Social Union of Bavaria
http://www.wikidata.org/entity/Q132731416,Christian Reck,https://en.wikipedia.org/wiki/Christian_Reck,2025-03-25T00:00:00Z,member of the German Bundestag,Alternative for Germany
http://www.wikidata.org/entity/Q40473868,Christian Wirth,https://en.wikipedia.org/wiki/Christian_Wirth_(politician),2025-03-25T00:00:00Z,member of the German Bundestag,Alternative for Germany
http://www.wikidata.org/entity/Q132733616,Christian Zaum,https://en.wikipedia.org/wiki/Christian_Zaum,2025-03-25T00:00:00Z,member of the German Bundestag,Alternative for Germany
http://www.wikidata.org/entity/Q88346,Christian von Stetten,https://en.wikipedia.org/wiki/Christian_von_Stetten,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q67796852,Christiane Schenderlein,https://en.wikipedia.org/wiki/Christiane_Schenderlein,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q132733615,Christin Willnat,https://en.wikipedia.org/wiki/Christin_Willnat,2025-03-25T00:00:00Z,member of the German Bundestag,Die Linke
http://www.wikidata.org/entity/Q23559850,Christina Baum,https://en.wikipedia.org/wiki/Christina_Baum,2025-03-25T00:00:00Z,member of the German Bundestag,Alternative for Germany
http://www.wikidata.org/entity/Q108702403,Christina Stumpp,https://en.wikipedia.org/wiki/Christina_Stumpp,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q132733490,Christoph Birghan,https://en.wikipedia.org/wiki/Christoph_Birghan,2025-03-25T00:00:00Z,member of the German Bundestag,Alternative for Germany
http://www.wikidata.org/entity/Q132733521,Christoph Frauenpreiß,https://en.wikipedia.org/wiki/Christoph_Frauenprei%C3%9F,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q26792883,Christoph Grimm,https://en.wikipedia.org/wiki/Christoph_Grimm,2025-03-25T00:00:00Z,member of the German Bundestag,Alternative for Germany
http://www.wikidata.org/entity/Q40974976,Christoph Ploß,https://en.wikipedia.org/wiki/Christoph_Plo%C3%9F,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q58335148,Christoph Schmid,https://en.wikipedia.org/wiki/Christoph_Schmid_(politician),2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q1086155,Christoph de Vries,https://en.wikipedia.org/wiki/Christoph_de_Vries,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q132722895,Christopher Drößler,https://en.wikipedia.org/wiki/Christopher_Dr%C3%B6%C3%9Fler,2025-03-25T00:00:00Z,member of the German Bundestag,Alternative for Germany
http://www.wikidata.org/entity/Q14429713,Christos Pantazis,https://en.wikipedia.org/wiki/Christos_Pantazis,2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q110421439,Clara Bünger,https://en.wikipedia.org/wiki/Clara_B%C3%BCnger,2025-03-25T00:00:00Z,member of the German Bundestag,Die Linke
http://www.wikidata.org/entity/Q40998854,Claudia Moll,https://en.wikipedia.org/wiki/Claudia_Moll,2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q6523639,Claudia Müller,https://en.wikipedia.org/wiki/Claudia_M%C3%BCller_(politician),2025-03-25T00:00:00Z,member of the German Bundestag,Alliance '90/The Greens
http://www.wikidata.org/entity/Q75791,Claudia Roth,https://en.wikipedia.org/wiki/Claudia_Roth,2025-03-25T00:00:00Z,member of the German Bundestag,Alliance '90/The Greens
http://www.wikidata.org/entity/Q132731688,Claudia Weiss,https://en.wikipedia.org/wiki/Claudia_Weiss,2025-03-25T00:00:00Z,member of the German Bundestag,Alternative for Germany
http://www.wikidata.org/entity/Q15092209,Corinna Rüffer,https://en.wikipedia.org/wiki/Corinna_R%C3%BCffer,2025-03-25T00:00:00Z,member of the German Bundestag,Alliance '90/The Greens
http://www.wikidata.org/entity/Q95206007,Cornell Babendererde,https://en.wikipedia.org/wiki/Cornell_Babendererde,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q15433815,Dagmar Schmidt,https://en.wikipedia.org/wiki/Dagmar_Schmidt,2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q108717680,Daniel Baldy,https://en.wikipedia.org/wiki/Daniel_Baldy,2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q132732825,Daniel Bettermann,https://en.wikipedia.org/wiki/Daniel_Bettermann,2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q132733545,Daniel Kölbl,https://en.wikipedia.org/wiki/Daniel_K%C3%B6lbl,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q114134624,Daniel Rinkert,https://en.wikipedia.org/wiki/Daniel_Rinkert,2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q132733611,Daniel Walter,https://en.wikipedia.org/wiki/Daniel_Walter,2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q112774288,Daniel Zerbin,https://en.wikipedia.org/wiki/Daniel_Zerbin,2025-03-25T00:00:00Z,member of the German Bundestag,Alternative for Germany
http://www.wikidata.org/entity/Q1163474,Daniela Ludwig,https://en.wikipedia.org/wiki/Daniela_Ludwig,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Social Union of Bavaria
http://www.wikidata.org/entity/Q132733427,Daniela Rump,https://en.wikipedia.org/wiki/Daniela_Rump,2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
