title,n_v02,n_wiki,sim_mean,sim_median,sim_max,sim_p90
1971 dutch general election,119,1,0.6230148077011108,0.6347287893295288,0.8549970388412476,0.7308928966522217
1971 jvp insurrection,196,7,0.5549078583717346,0.5520397424697876,0.8699979782104492,0.67088782787323
1971 marshall thundering herd football team,125,1,0.566533088684082,0.5614241361618042,0.7879222631454468,0.6586225032806396
1972 (ep),47,2,0.6250239014625549,0.6450933218002319,0.9037712812423706,0.7680042386054993
1972 united states presidential election in kentucky,155,2,0.528760552406311,0.5141580104827881,0.8933873176574707,0.7398353815078735
1972–73 nhl season,197,6,0.5020991563796997,0.49971485137939453,0.8591728806495667,0.6365398168563843
1973 bangladeshi general election,83,7,0.6124048233032227,0.6085636615753174,0.8790193200111389,0.7589385509490967
1973 ncaa university division basketball tournament,125,5,0.5345468521118164,0.5265971422195435,0.9204351305961609,0.6699597239494324
1973 nfl season,159,3,0.4789629578590393,0.46643856167793274,0.891629695892334,0.6166117787361145
1973 vfl grand final,109,3,0.5992730855941772,0.6176579594612122,0.8874834179878235,0.754905104637146
1974 atlantic hurricane season,145,7,0.5392454266548157,0.536734938621521,0.8580625057220459,0.6784743070602417
1974 football league cup final,93,1,0.6554512977600098,0.6669974327087402,0.9098010659217834,0.7762306928634644
1974 minnesota vikings season,101,1,0.604936957359314,0.6124218106269836,0.8245689272880554,0.7566609382629395
1974 nba draft,99,6,0.5607404708862305,0.5552947521209717,0.8181234002113342,0.680773913860321
1974–75 aba season,131,9,0.5528968572616577,0.5477056503295898,0.8971240520477295,0.7038811445236206
1974–75 european cup,102,1,0.6261411905288696,0.6496076583862305,0.8514713644981384,0.7826390862464905
1975 formula one season,154,2,0.5512620806694031,0.5474042892456055,0.7894282341003418,0.6958827376365662
1975 major league baseball season,178,1,0.47357529401779175,0.47871923446655273,0.7308590412139893,0.5760952830314636
1975–76 manchester united f.c. season,94,1,0.588413417339325,0.57634037733078,0.8034359216690063,0.6881184577941895
1976 24 hours of le mans,111,24,0.5315002202987671,0.5291531682014465,0.8374947309494019,0.644468367099762
1976 argentine coup d'état,212,28,0.5110688805580139,0.5076141357421875,0.8725355267524719,0.6524273157119751
1976 formula one season,196,4,0.5425907969474792,0.5538356304168701,0.8341233730316162,0.6760600805282593
1976 nigerian coup attempt,118,2,0.6081156134605408,0.6135962605476379,0.903344988822937,0.7375373840332031
1976 pittsburgh steelers season,132,8,0.5875946879386902,0.59466552734375,0.8312722444534302,0.7018839120864868
1976 seattle seahawks season,118,3,0.5455804467201233,0.5518340468406677,0.8069830536842346,0.6473042964935303
1976 united states senate election in massachusetts,77,1,0.6061444878578186,0.6086817383766174,0.8580870628356934,0.7288717031478882
1976 vfl grand final,61,7,0.6300799250602722,0.6321845650672913,0.9033257365226746,0.7772466540336609
1976–77 montreal canadiens season,139,3,0.5775537490844727,0.5830651521682739,0.8247118592262268,0.7038031220436096
1977,412,1,0.27542436122894287,0.27647095918655396,0.5732126235961914,0.42158469557762146
1977 australian referendum,139,1,0.5319229364395142,0.5389708280563354,0.7952896952629089,0.6514331698417664
