title,n_v02,n_v01,sim_mean,sim_median,sim_max,sim_p90
jimmy vicaut,74,7,0.6793631315231323,0.6973395347595215,0.9053937196731567,0.8052794933319092
jin,130,93,0.38164642453193665,0.3518662452697754,0.9978820085525513,0.5911977291107178
jin boyang,133,87,0.6062875390052795,0.6204165816307068,0.9212749004364014,0.7473941445350647
jin dynasty (266–420),317,268,0.5075073838233948,0.5027056932449341,0.9972230792045593,0.6642189025878906
jin ha,95,4,0.5581609010696411,0.5529557466506958,0.8316049575805664,0.7038822770118713
jin han (actor),99,3,0.5375739932060242,0.5458959341049194,0.8714472055435181,0.6812677383422852
jin yunying,97,81,0.6034886837005615,0.6219177842140198,0.9972476959228516,0.7637678384780884
jindalee operational radar network,129,98,0.6167612075805664,0.6297616958618164,0.99418705701828,0.7726121544837952
jinde meriye,68,4,0.43992164731025696,0.39124172925949097,0.9493903517723083,0.6968567371368408
jindřichův hradec,174,11,0.4821881949901581,0.4952965974807739,0.8041905760765076,0.6230750679969788
jingnan campaign,135,115,0.565618097782135,0.5607379674911499,0.9963752031326294,0.7241268754005432
jinn,174,59,0.551788330078125,0.5554194450378418,0.9148107171058655,0.6548840999603271
"jinnah stadium, gujranwala",84,56,0.6358629465103149,0.6453527212142944,0.9958242177963257,0.7929231524467468
jinri park,82,3,0.5936989784240723,0.6006088256835938,0.8748258352279663,0.7131963968276978
jinsei,72,9,0.5030074119567871,0.5150413513183594,0.912117600440979,0.6852349042892456
jinx (clothing),58,2,0.6543715000152588,0.6614843010902405,0.8939297199249268,0.7301002740859985
jio tv,134,5,0.5894501209259033,0.5905839204788208,0.8526283502578735,0.6985800862312317
jirawat sutivanichsak,79,6,0.5230939984321594,0.5291910767555237,0.942274808883667,0.6773496270179749
jisoo,261,57,0.5347737669944763,0.5272231101989746,0.8915255069732666,0.651726245880127
jitendra kumar maheshwari,70,50,0.6091407537460327,0.6052156686782837,0.9986920356750488,0.776634931564331
jivabhai ambalal patel,80,53,0.5784966945648193,0.5729351043701172,0.9949690699577332,0.748750627040863
jivamukti yoga,123,93,0.5742454528808594,0.5695876479148865,0.9937151670455933,0.7196367383003235
jivdhan,88,62,0.582961916923523,0.5756795406341553,0.9943453669548035,0.7515268325805664
jk business,179,142,0.6507468223571777,0.6589863896369934,0.9901442527770996,0.7796058058738708
jo bench,76,1,0.6529907584190369,0.6486466526985168,0.8367578983306885,0.7676319479942322
jo cox commission on loneliness,111,84,0.653460681438446,0.6481943130493164,0.9939628839492798,0.7745733857154846
jo gartner,88,17,0.6302217841148376,0.6297159194946289,0.9010727405548096,0.7662562727928162
jo haylen,101,66,0.6081163287162781,0.5983847379684448,0.9947201013565063,0.7591143846511841
jo vannicola,97,74,0.5319259762763977,0.5212684869766235,0.9956448078155518,0.7198094725608826
jo yu-ri,135,20,0.48626086115837097,0.48192018270492554,0.8278733491897583,0.6081752777099609
joachim (given name),121,90,0.4094488024711609,0.3628848195075989,0.995661735534668,0.6506133079528809
joakim soria,128,23,0.6192963719367981,0.6142438650131226,0.8989158272743225,0.7365456223487854
joan blaeu,72,10,0.5959994196891785,0.5905399322509766,0.8598030209541321,0.7184927463531494
joan collins (politician),148,97,0.6051589846611023,0.6032736897468567,0.9942748546600342,0.7458217144012451
joan cornellà,75,3,0.5993629693984985,0.5843992829322815,0.8704370260238647,0.733299732208252
joan didion,307,218,0.4827949106693268,0.47272515296936035,0.9958782196044922,0.6209728717803955
joan leslie,102,16,0.5207079648971558,0.5218581557273865,0.8252683877944946,0.656043529510498
joan of england (died 1348),44,33,0.6484199166297913,0.6396478414535522,0.9960880279541016,0.8108887672424316
joan pringle,51,39,0.5895829200744629,0.5636852979660034,0.9941050410270691,0.805324912071228
joana preiss,60,2,0.5371644496917725,0.5409055948257446,0.8715890645980835,0.7105737924575806
"joanna of austria, grand duchess of tuscany",85,75,0.6326208710670471,0.6292936205863953,0.9974338412284851,0.7779490947723389
joanna thomas,61,21,0.564110279083252,0.5576791763305664,0.8595236539840698,0.7037913203239441
joanna trollope,118,11,0.5198087096214294,0.5223438739776611,0.8606604337692261,0.633459210395813
"joanna, wife of chuza",73,8,0.5790484547615051,0.5802780389785767,0.8358903527259827,0.7229160070419312
joanne dru,77,57,0.5315907597541809,0.5274543166160583,0.9959753751754761,0.7317986488342285
joaquín cosío,117,4,0.5430386662483215,0.5445737838745117,0.8335722088813782,0.6994467973709106
joaquín niemann,220,129,0.6100243926048279,0.609235405921936,0.996091902256012,0.7485998272895813
job hunting,351,225,0.4685090482234955,0.4608818292617798,0.9924492239952087,0.6252568960189819
job shop,127,2,0.567550539970398,0.5915682911872864,0.8536602258682251,0.7163289189338684
jobst of moravia,104,83,0.5881363749504089,0.5966187715530396,0.9975632429122925,0.7711913585662842
jocelyn flores,84,4,0.6061295866966248,0.6145810484886169,0.8815822601318359,0.7441588044166565
jocelyn lane,69,4,0.48635345697402954,0.487648606300354,0.8535155653953552,0.6504409313201904
jocelyn stevens,70,6,0.46950191259384155,0.4808126389980316,0.8773574233055115,0.6489438414573669
jocelyn thibault,84,5,0.6407373547554016,0.6493435502052307,0.8832614421844482,0.7565711736679077
jocelyne béroard,108,4,0.5018903017044067,0.5001314282417297,0.9304174184799194,0.6605398058891296
"jock jams, volume 1",73,1,0.5250004529953003,0.5645767450332642,0.7020260095596313,0.6486265659332275
"jock jams, volume 2",59,1,0.6328802108764648,0.6353470683097839,0.8330032825469971,0.773811936378479
jocko conlan,91,10,0.613410472869873,0.6153726577758789,0.9162032604217529,0.7486647367477417
jod-basedow phenomenon,105,4,0.6622391939163208,0.695847749710083,0.9127330780029297,0.8042793869972229
jodi gordon,74,12,0.5701301693916321,0.5536972880363464,0.9042243957519531,0.7014976739883423
jodi mckay,140,85,0.5833082795143127,0.5828183889389038,0.9938910007476807,0.7329463362693787
jodie burrage,114,16,0.6418513059616089,0.6531479358673096,0.9161028861999512,0.7814953923225403
joe bell (footballer),99,17,0.6417433023452759,0.641047477722168,0.8992044925689697,0.7655199766159058
joe bennett (footballer),113,45,0.5806745290756226,0.5764294266700745,0.9331573843955994,0.7115316390991211
joe caldwell,131,9,0.5634576678276062,0.5744245648384094,0.8576416373252869,0.7108370065689087
joe cheng,70,9,0.5402215123176575,0.5447796583175659,0.8326956033706665,0.6761825680732727
joe cobb,55,3,0.6382673978805542,0.657562255859375,0.9170392751693726,0.7651814818382263
joe conley,84,3,0.5778970122337341,0.5661928653717041,0.8579855561256409,0.7373485565185547
joe cribbs,124,9,0.6246045827865601,0.640357255935669,0.923365592956543,0.7833468317985535
joe dante,206,144,0.503578245639801,0.5012588500976562,0.9943802356719971,0.6535710096359253
joe dodoo,130,16,0.6396451592445374,0.6376751661300659,0.9038434028625488,0.7649951577186584
joe flacco,252,159,0.5456039309501648,0.5475292205810547,0.9366742968559265,0.6822903156280518
joe frazier vs. george foreman,109,7,0.6272931098937988,0.6260737180709839,0.9162552952766418,0.7480434775352478
joe gans,96,75,0.6473517417907715,0.6452963352203369,0.9981062412261963,0.7683007717132568
joe gatto,96,58,0.527058482170105,0.5177446603775024,0.9951581358909607,0.7183908224105835
joe gebbia,135,80,0.5006063580513,0.4891381561756134,0.9943830966949463,0.6672453880310059
joe goldberg,140,97,0.4906654357910156,0.4810792803764343,0.9920923709869385,0.6605924963951111
joe gomez (footballer),120,24,0.5929803848266602,0.5952969789505005,0.8902167677879333,0.7197907567024231
joe henderson (gospel singer),54,2,0.6364942789077759,0.6582547426223755,0.884364128112793,0.7753260135650635
joe hisaishi,139,35,0.5474984049797058,0.5453203916549683,0.8524320721626282,0.6467599272727966
joe kaeser,97,59,0.6012297868728638,0.6020638942718506,0.992512583732605,0.7541297674179077
joe kent,148,96,0.5397812724113464,0.5319613814353943,0.9948389530181885,0.7165281176567078
joe macer,33,10,0.5554679036140442,0.5569995045661926,0.894747257232666,0.7292023301124573
joe mangel,49,40,0.5582820773124695,0.5613163709640503,0.8681007623672485,0.700425922870636
joe mcewing,68,13,0.5874228477478027,0.5766274333000183,0.9094277620315552,0.7393298745155334
joe mcginniss,132,81,0.44191688299179077,0.4325738847255707,0.9956334233283997,0.6291948556900024
